Ticker;Name;Type
ACC;AMERICAN CAMPUS COMMUNITIES;STUDENT HOUSING
AI;ARLINGTON ASSET INVESTMENT;MORTGAGE
AIV;AIMCO;APARTMENTS
ALX;ALEXANDER'S;DIVERSIFIED
AMH;AMERICAN HOMES 4 RENT;SINGLE-FAMILY HOUSES
AMT;AMERICAN TOWER;TELECOMMUNICATIONS
ANH;ANWORTH MORTGAGE ASSET CORPORATION;MORTGAGE
APLE; APPLE HOSPITALITY INC;
ARE;ALEXANDRIA REAL ESTATE EQUITIES;OFFICE
AVB;AVALONBAY COMMUNITIES;APARTMENTS
BDN;BRANDYWINE REALTY TRUST;OFFICE
BRX;BRIXMOR PROPERTY GROUP;SHOPPING CENTERS
BXP;BOSTON PROPERTIES;OFFICE
CBL;CBL PROPERTIES;REGIONAL MALLS
CCI;CROWN CASTLE;TELECOMMUNICATIONS
CDR;CEDAR REALTY TRUST;SHOPPING CENTERS
CLI;MACK-CALI REALTY CORPORATION;OFFICE
COLD;AMERICOLD;INDUSTRIAL
CONE;CYRUSONE;DATA CENTER
COR;CORESITE;DATA CENTER
CPT;CAMDEN PROPERTY TRUST;APARTMENTS
CUBE;CUBESMART;SELF-STORAGE
CUZ;COUSINS PROPERTIES;OFFICE
CXW;CORECIVIC;PRIVATE PRISONS
DLR;DIGITAL REALTY;DATA CENTER
EPR;EPR PROPERTIES;DIVERSIFIED
EQIX;EQUINIX;DATA CENTER
EQR;EQUITY RESIDENTIAL;APARTMENTS
ESS;ESSEX PROPERTY TRUST;APARTMENTS
EXR;EXTRA SPACE STORAGE;SELF-STORAGE
FRT;FEDERAL REALTY INVESTMENT TRUST;SHOPPING CENTERS
GEO;GEO GROUP;PRIVATE PRISONS
GLPI;GAMING AND LEISURE PROPERTIES;LODGING
HPP;HUDSON PACIFIC PROPERTIES;OFFICE
HST;HOST HOTELS & RESORTS;LODGING
HT;HERSHA HOSPITALITY TRUST;LODGING
IHT;INNSUITES HOSPITALITY;LODGING
IIPR;INOVATIVE INDUSTRIAL PROPERTIES INC;
INVH;INVITATION HOMES;SINGLE-FAMILY HOUSES
IRM;IRON MOUNTAIN;DATA CENTER
JBGS;JBG SMITH;DIVERSIFIED
KIM;KIMCO REALTY;SHOPPING CENTERS
LAMR;LAMAR ADVERTISING COMPANY;ADVERTISING
LSI;LIFE STORAGE;SELF-STORAGE
MAA;MID-AMERICA APARTMENT COMMUNITIES;APARTMENTS
MAC;MACERICH;REGIONAL MALLS
MGP;MGM GROWTH PROPERTIES;LODGING
MPW;MEDICAL PROPERTIES TRUST;HEALTHCARE
NLY;ANNALY CAPITAL MANAGEMENT;MORTGAGE
NNN;NATIONAL RETAIL PROPERTIES;SINGLE TENANT/NNN
O;REALTY INCOME CORPORATION;SINGLE TENANT/NNN
OFC;CORPORATE OFFICE PROPERTIES TRUST;OFFICE
OUT;OUTFRONT MEDIA;ADVERTISING
PCH;POTLATCHDELTIC;TIMBER
PEAK;HEALTHPEAK PROPERTIES;HEALTHCARE
PEI;PENNSYLVANIA REAL ESTATE INVESTMENT TRUST;REGIONAL MALLS
PK;PARK HOTELS & RESORTS;LODGING
PLD;PROLOGIS;INDUSTRIAL
PSA;PUBLIC STORAGE;SELF-STORAGE
PSB;PS BUSINESS PARKS;INDUSTRIAL
QTS;QUALITY TECHNOLOGY SERVICES;DATA CENTER
REG;REGENCY CENTERS;SHOPPING CENTERS
REXR;REXFORD INDUSTRIAL REALTY INC;
RPT;RPT REALTY;SHOPPING CENTERS
RYN;RAYONIER;TIMBER
SBAC;SBA COMMUNICATIONS;TELECOMMUNICATIONS
SITC;SITE CENTERS;SHOPPING CENTERS
SKT;TANGER FACTORY OUTLET CENTERS;SHOPPING CENTERS
SLG;SL GREEN REALTY;OFFICE
SNR;NEW SENIOR INVESTMENT GROUP;HEALTHCARE
SPG;SIMON PROPERTY GROUP;REGIONAL MALLS
STAG; STAG INDUSTRIAL INC;
STAY;EXTENDED STAY AMERICA;LODGING
SUI;SUN COMMUNITIES;MANUFACTURED HOUSING
TRNO;TERRENO REALTY
UBP;URSTADT BIDDLE PROPERTIES;SHOPPING CENTERS
UDR;UDR;APARTMENTS
UMH;UMH PROPERTIES;MANUFACTURED HOUSING
VICI;VICI PROPERTIES;LODGING
VNO;VORNADO REALTY TRUST;DIVERSIFIED
VTR;VENTAS HEALTHCARE CORPORATION;
WELL;WELLTOWER;HEALTHCARE
WPC;W. P. CAREY;DIVERSIFIED
WPG;WASHINGTON PRIME GROUP;REGIONAL MALLS
WRI;WEINGARTEN REALTY;SHOPPING CENTERS
WY;WEYERHAEUSER;TIMBER
XHR;XENIA HOTELS & RESORTS;LODGING
