;Ticker;Name;Sector;Industry
114;A;AGILENT TECHNOLOGIES INC. COMMON STOCK;CAPITAL GOODS;ELECTRICAL PRODUCTS
0;AA;ALCOA CORPORATION;;
1;AAL;AMERICAN AIRLINES GROUP INC.;;
326;AAP;ADVANCE AUTO PARTS INC ADVANCE AUTO PARTS INC W/I;CONSUMER SERVICES;OTHER SPECIALTY STORES
2;AAPL;APPLE INC.;;
839;AAT;AMERICAN ASSETS TRUST INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
600;AB;ALLIANCEBERNSTEIN HOLDING L.P.  UNITS;FINANCE;INVESTMENT MANAGERS
19;ABBV;ABBVIE INC. COMMON STOCK;HEALTH CARE;MAJOR PHARMACEUTICALS
211;ABC;AMERISOURCEBERGEN CORPORATION COMMON STOCK;HEALTH CARE;OTHER PHARMACEUTICALS
3;ABEV;AMBEV S.A.;;
740;ABG;ASBURY AUTOMOTIVE GROUP INC COMMON STOCK;CONSUMER SERVICES;OTHER SPECIALTY STORES
750;ABM;ABM INDUSTRIES INCORPORATED COMMON STOCK;TECHNOLOGY;DIVERSIFIED COMMERCIAL SERVICES
797;ABR;ARBOR REALTY TRUST COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
4;ABT;ABBOTT LABORATORIES;;
20;ABT;ABBOTT LABORATORIES COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
492;ACC;AMERICAN CAMPUS COMMUNITIES INC COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
406;ACI;ALBERTSONS COMPANIES INC. CLASS A COMMON STOCK;CONSUMER SERVICES;FOOD CHAINS
402;ACM;AECOM COMMON STOCK;CONSUMER SERVICES;MILITARY/GOVERNMENT/TECHNICAL
588;ADC;AGREE REALTY CORPORATION COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
154;ADM;ARCHER-DANIELS-MIDLAND COMPANY COMMON STOCK;;
554;ADS;ALLIANCE DATA SYSTEMS CORPORATION COMMON STOCK;FINANCE;DIVERSIFIED FINANCIAL SERVICES
414;ADT;ADT INC. COMMON STOCK;CONSUMER SERVICES;DIVERSIFIED COMMERCIAL SERVICES
848;ADX;ADAMS DIVERSIFIED EQUITY FUND INC.;FINANCE;INVESTMENT MANAGERS
234;AEE;AMEREN CORPORATION COMMON STOCK;PUBLIC UTILITIES;POWER GENERATION
742;AEL;AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY COMMON STOCK;FINANCE;LIFE INSURANCE
503;AEO;AMERICAN EAGLE OUTFITTERS INC. COMMON STOCK;CONSUMER SERVICES;CLOTHING/SHOE/ACCESSORY STORES
276;AES;THE AES CORPORATION COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
373;AFG;AMERICAN FINANCIAL GROUP INC. COMMON STOCK;FINANCE;PROPERTY-CASUALTY INSURERS
5;AFL;AFLAC INCORPORATED;;
