;data_pregao;codbdi;sigla_acao;preco_fechamento
0;2016-01-04;2;AAPL34;42.08
1;2016-01-04;2;ABCB4;8.13
2;2016-01-04;12;ABCP11;9.43
3;2016-01-04;2;ABEV3;17.21
4;2016-01-04;2;ABTT34;43.2
5;2016-01-04;12;AEFI11;101.0
6;2016-01-04;12;AGCX11;985.0
7;2016-01-04;2;AGRO3;10.95
8;2016-01-04;12;ALMI11B;1560.0
9;2016-01-04;2;ALPA3;9.5
10;2016-01-04;2;ALPA4;7.07
11;2016-01-04;2;ALSC3;10.78
12;2016-01-04;2;ALUP11;12.15
13;2016-01-04;2;AMAR3;4.74
14;2016-01-04;2;AMGN34;636.38
15;2016-01-04;2;AMZO34;1286.74
16;2016-01-04;2;ANIM3;12.95
17;2016-01-04;2;ARTR3;9.65
18;2016-01-04;2;ARZZ3;19.75
19;2016-01-04;2;AVON34;8.13
20;2016-01-04;2;AXPB34;271.77
21;2016-01-04;2;AZEV4;1.35
22;2016-01-04;2;BAUH4;8.0
23;2016-01-04;2;BBAS3;14.24
24;2016-01-04;2;BBDC3;20.2
25;2016-01-04;2;BBDC4;19.0
26;2016-01-04;12;BBPO11;95.5
27;2016-01-04;12;BBRC11;84.0
28;2016-01-04;2;BBRK3;1.33
29;2016-01-04;2;BBSE3;22.83
30;2016-01-04;2;BBTG11;15.3
31;2016-01-04;12;BBVJ11;53.5
32;2016-01-04;12;BCFF11B;57.5
33;2016-01-04;12;BCRI11;96.79
34;2016-01-04;2;BEEF3;12.5
35;2016-01-04;2;BEES3;1.75
36;2016-01-04;2;BEES4;1.78
37;2016-01-04;2;BERK34;526.06
38;2016-01-04;2;BGIP4;11.35
39;2016-01-04;2;BMEB3;7.0
40;2016-01-04;2;BMKS3;257.0
41;2016-01-04;12;BMLC11B;81.0
42;2016-01-04;2;BOAC34;66.39
43;2016-01-04;2;BPAN4;1.79
44;2016-01-04;12;BPFF11;66.48
45;2016-01-04;2;BPHA3;4.68
46;2016-01-04;2;BRAP3;4.28
47;2016-01-04;2;BRAP4;4.7
48;2016-01-04;12;BRCR11;91.6
49;2016-01-04;2;BRFS3;54.22
50;2016-01-04;2;BRIN3;19.5
51;2016-01-04;2;BRKM3;15.5
52;2016-01-04;2;BRKM5;27.1
53;2016-01-04;2;BRML3;10.87
54;2016-01-04;2;BRPR3;8.29
55;2016-01-04;2;BRSR6;5.57
56;2016-01-04;2;BTOW3;14.49
57;2016-01-04;2;BTTL4;11.0
58;2016-01-04;2;BVMF3;10.45
59;2016-01-04;2;CAMB4;0.83
60;2016-01-04;2;CARD3;2.9
61;2016-01-04;2;CBEE3;0.87
62;2016-01-04;2;CBMA4;0.01
63;2016-01-04;2;CCRO3;12.15
64;2016-01-04;2;CCXC3;3.16
65;2016-01-04;2;CEBR3;14.9
66;2016-01-04;2;CELP3;1.75
67;2016-01-04;12;CEOC11B;47.0
68;2016-01-04;2;CESP3;10.52
69;2016-01-04;2;CESP6;13.23
70;2016-01-04;2;CGAS5;39.1
71;2016-01-04;2;CGRA3;10.1
72;2016-01-04;2;CGRA4;9.0
73;2016-01-04;2;CHVX34;179.37
74;2016-01-04;2;CIEL3;32.21
75;2016-01-04;2;CLSC4;9.59
76;2016-01-04;2;CMCS34;223.65
77;2016-01-04;2;CMIG3;5.95
78;2016-01-04;2;CMIG4;5.66
79;2016-01-04;12;CNES11B;88.0
80;2016-01-04;2;COCA34;170.75
81;2016-01-04;2;COCE5;35.59
82;2016-01-04;2;COLG34;261.26
83;2016-01-04;2;CPFE3;14.8
84;2016-01-04;2;CPLE3;15.3
85;2016-01-04;2;CPLE6;23.0
86;2016-01-04;2;CPRE3;11.9
87;2016-01-04;2;CRDE3;1.4
88;2016-01-04;2;CRPG5;3.3
89;2016-01-04;2;CSAN3;24.0
90;2016-01-04;2;CSMG3;14.6
91;2016-01-04;2;CSNA3;3.86
92;2016-01-04;2;CTAX11;0.43
93;2016-01-04;2;CTAX3;0.11
94;2016-01-04;2;CTAX4;0.09
95;2016-01-04;2;CTGP34;206.45
96;2016-01-04;2;CTIP3;35.8
97;2016-01-04;2;CTKA4;0.25
98;2016-01-04;12;CTXT11;3.13
99;2016-01-04;2;CVCB3;12.53
100;2016-01-04;12;CXRI11;814.9
101;2016-01-04;2;CYRE3;7.28
102;2016-01-04;2;CZLT33;14.29
103;2016-01-04;2;DAGB33;468.5
104;2016-01-04;2;DASA3;10.17
105;2016-01-04;2;DIRR3;3.42
106;2016-01-04;2;DISB34;416.34
107;2016-01-04;2;DOWB34;203.45
108;2016-01-04;12;DRIT11B;107.0
109;2016-01-04;2;DTCY3;0.45
110;2016-01-04;2;DTEX3;5.65
111;2016-01-04;2;EBAY34;52.76
112;2016-01-04;2;ECOR3;4.77
113;2016-01-04;12;EDFO11B;200.0
114;2016-01-04;12;EDGA11B;53.55
115;2016-01-04;2;EEEL4;0.9
116;2016-01-04;2;ELEK4;6.97
117;2016-01-04;2;ELET3;5.43
118;2016-01-04;2;ELET6;9.9
119;2016-01-04;2;ELPL4;8.0
120;2016-01-04;2;EMAE4;3.85
121;2016-01-04;2;EMBR3;29.32
122;2016-01-04;2;ENBR3;11.27
123;2016-01-04;2;ENGI11;14.0
124;2016-01-04;2;ENGI3;2.7
125;2016-01-04;2;ENGI4;2.75
126;2016-01-04;2;ENMA3B;17.69
127;2016-01-04;2;EQTL3;33.0
128;2016-01-04;2;ESTC3;13.9
129;2016-01-04;2;ETER3;1.97
